time,track_id,est_x,est_y,est_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,cluster_size,roi,lost,hits,true_x,true_y,true_z,true_x,true_y,true_z,true_x,true_y,true_z
1.4020000000000001,0,0.1876564621925354,0.010024070739746094,0.23845994472503662,0.0,0.0,0.0,0.0,0.0,0.0,3,0.5,0,1,0.17327660294576425,-0.004940019237014287,0.2278564528536006,1.173276602945773,-0.00494001923701262,0.22785645285360057,0.17327660294576236,-1.0049400192370166,0.22785645285360107
1.4020000000000001,1,1.18594092130661,0.016453862190246582,0.2416975498199463,0.0,0.0,0.0,0.0,0.0,0.0,7,0.5,0,1,0.17327660294576425,-0.004940019237014287,0.2278564528536006,1.173276602945773,-0.00494001923701262,0.22785645285360057,0.17327660294576236,-1.0049400192370166,0.22785645285360107
1.4020000000000001,2,0.1787208616733551,-0.9971816539764404,0.16740024089813232,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5,0,1,0.17327660294576425,-0.004940019237014287,0.2278564528536006,1.173276602945773,-0.00494001923701262,0.22785645285360057,0.17327660294576236,-1.0049400192370166,0.22785645285360107
1.602,0,0.4122148262171613,0.007619885917011127,0.35640469332689595,1.12279182012313,-0.01202092411367484,0.5897237430092969,5.613959100615651,-0.060104620568374206,2.948618715046485,5,0.4705545664426178,0,2,0.4031794989270448,0.010422271018132272,0.3630792678342821,1.4031794989270512,0.010422271018136184,0.36307926783427813,0.40317949892704213,-0.9895777289818785,0.36307926783428457
1.602,1,1.4164617555159336,0.010402758069221418,0.37986771722619006,1.1526041710466175,-0.030255520605125825,0.690850837031219,5.763020855233089,-0.15127760302562915,3.4542541851560955,4,0.4705545664426178,0,2,0.4031794989270448,0.010422271018132272,0.3630792678342821,1.4031794989270512,0.010422271018136184,0.36307926783427813,0.40317949892704213,-0.9895777289818785,0.36307926783428457
1.602,2,0.1787208616733551,-0.9971816539764404,0.16740024089813232,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4705545664426178,1,1,0.4031794989270448,0.010422271018132272,0.3630792678342821,1.4031794989270512,0.010422271018136184,0.36307926783427813,0.40317949892704213,-0.9895777289818785,0.36307926783428457
1.802,0,0.6208758519187513,-0.01561882761089084,0.47157820071299406,1.0433051285079498,-0.11619356763950986,0.5758675369304905,-0.397433458075901,-0.5208632176291752,-0.06928103039403168,1,0.4,0,3,0.6113566664912227,0.01347258365543674,0.4708796213414322,1.6113566664912307,0.01347258365543699,0.47087962134142786,0.6113566664912194,-0.9865274163445612,0.470879621341434
1.802,1,1.6195870934857468,0.0255926777438098,0.4812479610346516,1.0156266898490665,0.07594959837294192,0.506901219042308,-0.6848874059877553,0.5310255948903388,-0.919748089944555,2,0.4,0,3,0.6113566664912227,0.01347258365543674,0.4708796213414322,1.6113566664912307,0.01347258365543699,0.47087962134142786,0.6113566664912194,-0.9865274163445612,0.470879621341434
1.802,2,0.6297929783483027,-0.9668230194474745,0.48449071746779226,2.2553605833747383,0.15179317264482964,1.5854523828483,11.276802916873693,0.7589658632241484,7.927261914241502,1,0.7563920412061459,0,2,0.6113566664912227,0.01347258365543674,0.4708796213414322,1.6113566664912307,0.01347258365543699,0.47087962134142786,0.6113566664912194,-0.9865274163445612,0.470879621341434
2.0020000000000002,0,0.8164706958068515,0.0289236764877443,0.5506956644682173,0.9779742194405007,0.2227125204931755,0.39558731877611586,-0.3266545453372452,1.6945304406634252,-0.9014010907718726,4,0.4,0,4,0.8008188971746976,0.019465771463803877,0.55772388573161,1.8008188971747063,0.019465771463807815,0.5577238857316056,0.8008188971746947,-0.9805342285362091,0.5577238857316121
2.0020000000000002,1,1.8111518695017679,0.01504349315454867,0.5747572023152387,0.9578238800801044,-0.0527459229463056,0.4675462064029353,-0.2890140488448098,-0.6434776065962371,-0.19677506319686328,4,0.4,0,4,0.8008188971746976,0.019465771463803877,0.55772388573161,1.8008188971747063,0.019465771463807815,0.5577238857316056,0.8008188971746947,-0.9805342285362091,0.5577238857316121
2.0020000000000002,2,0.7705559398512931,-0.9624072382044631,0.5921949303267268,0.7038148075149516,0.022078906215057238,0.5385210642946723,-7.757728879298926,-0.6485713321488614,-5.234656592768134,2,0.4,0,3,0.8008188971746976,0.019465771463803877,0.55772388573161,1.8008188971747063,0.019465771463807815,0.5577238857316056,0.8008188971746947,-0.9805342285362091,0.5577238857316121
2.202,0,0.9842813485240675,0.051335335378213554,0.6287599521484433,0.8390532635860807,0.11205829445234643,0.39032143840113065,-0.6946047792721008,-0.5532711302041461,-0.026329401874926085,2,0.4,0,5,0.965030535195554,0.02904721547477321,0.6308682409577943,1.965030535195563,0.029047215474776105,0.6308682409577913,0.9650305351955519,-0.9709527845252358,0.6308682409577965
2.202,1,1.958560820688356,0.015245749376189277,0.6652000057292119,0.7370447559329417,0.001011281108203034,0.4522140170698662,-1.103895620735815,0.2687860202725435,-0.07666094666534572,4,0.4,0,5,0.965030535195554,0.02904721547477321,0.6308682409577943,1.965030535195563,0.029047215474776105,0.6308682409577913,0.9650305351955519,-0.9709527845252358,0.6308682409577965
2.202,2,0.9654340287375553,-0.9771388225059328,0.6295397828438758,0.9743904444313122,-0.07365792150734861,0.18672426258574545,1.3528781845818045,-0.4786841386120299,-1.7589840085446364,2,0.4,0,4,0.965030535195554,0.02904721547477321,0.6308682409577943,1.965030535195563,0.029047215474776105,0.6308682409577913,0.9650305351955519,-0.9709527845252358,0.6308682409577965
